customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type,multiple_lines_no,multiple_lines_no_phone_service,multiple_lines_yes,online_security_no,online_security_no_internet_service,online_security_yes,online_backup_no,online_backup_no_internet_service,online_backup_yes,device_protection_no,device_protection_no_internet_service,device_protection_yes,tech_support_no,tech_support_no_internet_service,tech_support_yes,streaming_tv_no,streaming_tv_no_internet_service,streaming_tv_yes,streaming_movies_no,streaming_movies_no_internet_service,streaming_movies_yes,contract_type_month-to-month,contract_type_one_year,contract_type_two_year,internet_service_type_dsl,internet_service_type_fiber_optic,internet_service_type_none,payment_type_bank_transfer_(automatic),payment_type_credit_card_(automatic),payment_type_electronic_check,payment_type_mailed_check
0020-INWCK,Female,Non-Senior,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,95.75,6849.4,0,Two year,Fiber optic,Credit card (automatic),No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
0020-JDNXP,Female,Non-Senior,Yes,Yes,34,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,No,61.25,1993.2,0,One year,DSL,Mailed check,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes
0021-IKXGC,Female,Senior,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,72.1,72.1,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
0022-TCJCI,Male,Senior,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,No,62.7,2791.5,1,One year,DSL,Credit card (automatic),Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No
0023-HGHWL,Male,Senior,No,No,1,No,No phone service,No,No,No,No,No,No,Yes,25.1,25.1,1,Month-to-month,DSL,Electronic check,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
0023-UYUPN,Female,Senior,Yes,No,50,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.2,1306.3,0,One year,None,Electronic check,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No
0023-XUOPT,Female,Non-Senior,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,94.1,1215.6,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
0027-KWYKW,Female,Non-Senior,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,Yes,83.75,1849.95,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
0030-FNXPP,Female,Non-Senior,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,57.2,0,Month-to-month,None,Mailed check,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes
0031-PVLZI,Female,Non-Senior,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.35,76.35,1,Month-to-month,None,Mailed check,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes
0032-PGELS,Female,Non-Senior,Yes,Yes,1,No,No phone service,Yes,No,No,No,No,No,No,30.5,30.5,1,Month-to-month,DSL,Bank transfer (automatic),No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
0036-IHMOT,Female,Non-Senior,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,103.7,5656.75,0,One year,Fiber optic,Bank transfer (automatic),Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
0040-HALCW,Male,Non-Senior,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.4,1090.6,0,Two year,None,Credit card (automatic),Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No
0042-JVWOJ,Male,Non-Senior,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.6,471.85,0,One year,None,Bank transfer (automatic),Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No
0042-RLHYP,Female,Non-Senior,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.7,1396.9,0,Two year,None,Bank transfer (automatic),Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No
0048-LUMLS,Male,Non-Senior,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,No,91.2,3247.55,0,One year,Fiber optic,Credit card (automatic),Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No
0048-PIHNL,Female,Non-Senior,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.45,900.9,0,One year,None,Bank transfer (automatic),Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No
0052-DCKON,Male,Non-Senior,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.8,7942.15,0,One year,Fiber optic,Bank transfer (automatic),No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
0052-YNYOT,Female,Non-Senior,No,No,67,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.55,1343.4,0,One year,None,Electronic check,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No
0056-EPFBG,Male,Non-Senior,Yes,Yes,20,No,No phone service,Yes,No,Yes,Yes,No,No,Yes,39.4,825.4,0,Two year,DSL,Credit card (automatic),No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
0057-QBUQH,Female,Non-Senior,No,Yes,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,25.1,1070.15,0,Two year,None,Electronic check,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No
0058-EVZWM,Female,Non-Senior,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,Yes,89.8,4959.6,0,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
0060-FUALY,Female,Non-Senior,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,94.75,5597.65,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
0064-SUDOG,Female,Non-Senior,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.3,224.5,0,Two year,None,Bank transfer (automatic),Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No
0064-YIJGF,Male,Non-Senior,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,Yes,75.75,1929.0,0,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
0067-DKWBL,Male,Senior,No,No,2,Yes,No,Yes,No,No,No,No,No,Yes,49.25,91.1,1,Month-to-month,DSL,Electronic check,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
0068-FIGTF,Female,Non-Senior,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,0,One year,DSL,Mailed check,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes
0071-NDAFP,Male,Non-Senior,Yes,Yes,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.5,630.6,0,Two year,None,Credit card (automatic),No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No
0074-HDKDG,Male,Non-Senior,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611.0,0,One year,DSL,Bank transfer (automatic),Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No
0076-LVEPS,Male,Non-Senior,No,Yes,29,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes,45.0,1242.45,0,Month-to-month,DSL,Mailed check,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
0078-XZMHT,Male,Non-Senior,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,0,Two year,DSL,Bank transfer (automatic),No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
0080-EMYVY,Female,Non-Senior,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,0,One year,DSL,Credit card (automatic),Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
0080-OROZO,Female,Non-Senior,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.25,3532.0,0,One year,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
0082-LDZUE,Male,Non-Senior,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,0,Month-to-month,DSL,Mailed check,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
0082-OQIQY,Male,Non-Senior,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,Yes,94.2,2607.6,0,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
0083-PIVIK,Male,Non-Senior,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,0,One year,DSL,Electronic check,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No
0089-IIQKO,Female,Non-Senior,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,99.95,3767.4,0,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No
0093-EXYQL,Female,Senior,No,No,40,Yes,No,No,No,No,No,Yes,Yes,Yes,91.55,3673.6,0,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
0093-XWZFY,Male,Non-Senior,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.5,4036.85,1,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No
0094-OIFMO,Female,Senior,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,Yes,95.0,1120.3,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
0096-BXERS,Female,Non-Senior,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,0,Month-to-month,DSL,Electronic check,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
0096-FCPUF,Male,Non-Senior,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,0,Month-to-month,DSL,Mailed check,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
0098-BOWSO,Male,Non-Senior,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.4,529.8,0,Month-to-month,None,Electronic check,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No
0100-DUVFC,Male,Senior,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.8,7308.95,0,One year,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
0103-CSITQ,Female,Non-Senior,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.4,6252.7,0,One year,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
0104-PPXDV,Male,Non-Senior,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,0,One year,DSL,Credit card (automatic),Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
0106-GHRQR,Male,Non-Senior,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,0,Month-to-month,DSL,Bank transfer (automatic),No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No
0106-UGRDO,Female,Non-Senior,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.0,8182.85,0,Two year,Fiber optic,Electronic check,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No
0107-WESLM,Male,Non-Senior,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.85,19.85,1,Month-to-month,None,Electronic check,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No
0107-YHINA,Male,Non-Senior,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.75,99.75,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
0111-KLBQG,Male,Senior,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,Yes,93.95,2861.45,0,Month-to-month,Fiber optic,Mailed check,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes
0112-QAWRZ,Male,Non-Senior,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,Yes,90.8,1442.2,0,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
0112-QWPNC,Male,Non-Senior,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,1,One year,DSL,Electronic check,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
0114-IGABW,Female,Non-Senior,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,0,Two year,DSL,Bank transfer (automatic),No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
0114-PEGZZ,Female,Non-Senior,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,107.55,3645.5,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
0114-RSRRW,Female,Non-Senior,Yes,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,187.75,0,Month-to-month,None,Bank transfer (automatic),Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No
0115-TFERT,Male,Non-Senior,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,2317.1,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
0117-LFRMW,Male,Non-Senior,Yes,Yes,37,No,No phone service,Yes,Yes,Yes,No,No,No,No,40.2,1448.8,1,Month-to-month,DSL,Bank transfer (automatic),No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
0118-JPNOY,Female,Senior,No,No,26,Yes,No,Yes,No,No,No,Yes,No,Yes,85.8,2193.65,0,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
0121-SNYRK,Male,Non-Senior,No,No,50,No,No phone service,Yes,No,No,Yes,No,No,Yes,35.4,1748.9,0,One year,DSL,Mailed check,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
0122-OAHPZ,Female,Non-Senior,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,73.85,511.25,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
0123-CRBRT,Female,Non-Senior,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,0,Two year,DSL,Mailed check,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes
0125-LZQXK,Male,Non-Senior,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.35,1553.95,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
